time_s,event_cursor,step_index,event_index,command,front_left_hip,front_left_knee,front_right_hip,front_right_knee,rear_left_hip,rear_left_knee,rear_right_hip,rear_right_knee,front_left_ankle,front_right_ankle,rear_left_ankle,rear_right_ankle
71.82799999997951,41,13,2,servo front_left_hip 20.1,20.1,-42.0,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
71.9680000001099,42,13,3,servo front_left_hip 24.2,24.2,-42.0,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
72.07799999997951,43,13,4,servo front_left_hip 29.8,29.8,-42.0,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
72.13999999989755,44,13,5,servo front_left_hip 38.1,38.1,-42.0,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
72.40599999995902,45,13,6,servo front_left_hip 39.5,39.5,-42.0,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
72.7960000000894,46,13,7,servo front_left_hip 43.6,43.6,-42.0,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
74.40599999995902,47,13,8,servo front_left_knee -35.1,43.6,-35.1,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
74.4680000001099,48,13,9,servo front_left_knee -32.3,43.6,-32.3,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
74.53099999995902,49,13,10,servo front_left_knee -29.5,43.6,-29.5,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
74.70299999997951,50,13,11,servo front_left_knee -25.4,43.6,-25.4,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
74.7960000000894,51,13,12,servo front_left_knee -12.9,43.6,-12.9,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
74.8430000001099,52,13,13,servo front_left_knee -1.8,43.6,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
77.96799999987707,53,14,0,servo front_left_hip 45,45.0,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
78.06199999991804,54,14,1,servo front_left_hip 28.4,28.4,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
78.15500000002794,55,14,2,servo front_left_hip 22.8,22.8,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
78.21799999987707,56,14,3,servo front_left_hip 18.7,18.7,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
78.34299999987707,57,14,4,servo front_left_hip 17.3,17.3,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
78.53000000002794,58,14,5,servo front_left_hip 21.5,21.5,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
78.59299999987707,59,14,6,servo front_left_hip 22.8,22.8,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
81.73300000000745,60,15,0,wheel all 0.3,22.8,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.3,0.3,0.3,0.3
114.40500000002794,61,15,1,wheel stop,22.8,-1.8,20.1,31.4,0.7,0.0,20.1,0.0,0.0,0.0,0.0,0.0
117.64000000013039,62,16,0,servo_wheel launch,6.2,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,-0.98,-2.09,0.0,1.65
118.3430000001099,63,16,1,wheel stop,6.2,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
121.23300000000745,64,17,0,servo front_left_hip 14.5,14.5,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
121.28000000002794,65,17,1,servo front_left_hip 17.3,17.3,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
121.43599999998696,66,17,2,servo front_left_hip 18.7,18.7,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
121.49900000006892,67,17,3,servo front_left_hip 20.1,20.1,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
121.78000000002794,68,17,4,servo front_left_hip 22.8,22.8,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
122.0460000000894,69,17,5,servo front_left_hip 24.2,24.2,-1.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
122.7960000000894,70,17,6,servo front_left_knee 14.8,24.2,14.8,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
122.84200000017881,71,17,7,servo front_left_knee 23.1,24.2,23.1,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
126.49900000006892,72,18,0,servo front_right_hip 4.8,24.2,23.1,4.8,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
126.82700000004843,73,18,1,servo front_right_hip 6.2,24.2,23.1,6.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
126.95200000004843,74,18,2,servo front_right_hip 9,24.2,23.1,9.0,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
127.15500000002794,75,18,3,servo front_right_hip 10.4,24.2,23.1,10.4,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
127.48300000000745,76,18,4,servo front_right_hip 11.8,24.2,23.1,11.8,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
127.57700000004843,77,18,5,servo front_right_hip 13.2,24.2,23.1,13.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
