time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_contact_upward_force_n,fr_contact_upward_force_n,rl_contact_upward_force_n,rr_contact_upward_force_n,fl_full_wheel_on_top,fr_full_wheel_on_top,rl_full_wheel_on_top,rr_full_wheel_on_top,all_wheels_on_top,support_score,fl_wheel_y_m,fr_wheel_y_m,rl_wheel_y_m,rr_wheel_y_m,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,fl_load_trim_z_m,fr_load_trim_z_m,fl_unload_trim_m,fr_unload_trim_m,rl_unload_trim_m,rr_unload_trim_m,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
0.0,0,0.0142387505620718,-0.012628849595785141,0.4182068705558777,0.28175848722457886,0.0,0.0,-3.5309348106384277,-0.000156853609951213,1,1,1,1,16.829465866088867,6.8964314460754395,25.364187240600586,6.413962364196777,16.829465866088867,6.8964314460754395,25.364187240600586,6.413962364196777,0,0,0,0,0,0.9999359846115112,0.08121176064014435,-0.31710752844810486,0.07899284362792969,-0.31730619072914124,0.2663242220878601,0.03828234225511551,0.2696799635887146,0.03988230600953102,-0.3019407093524933,0.046801719814538956,-0.30300024151802063,0.047598786652088165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.05,0,0.008853018283843994,-0.02390330657362938,0.12261070311069489,0.2805357873439789,0.0,0.0,-0.24182765185832977,0.003312579821795225,1,1,1,1,16.03154754638672,0.0,3.7776474952697754,24.24049186706543,16.03154754638672,0.0,3.7776474952697754,24.24049186706543,0,0,0,0,0,0.9999877214431763,0.08009617775678635,-0.31822410225868225,0.07902850955724716,-0.31727156043052673,0.26275378465652466,0.04892437532544136,0.2639874219894409,0.04922943934798241,-0.3027162551879883,0.049413833767175674,-0.3042086362838745,0.04917451739311218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.1,0,0.00775562971830368,-0.02331937663257122,0.004369917791336775,0.28213125467300415,0.0,0.0,-0.008447408676147461,0.0037323941942304373,1,1,1,1,10.315424919128418,3.5940768718719482,3.9763107299804688,10.781170845031738,10.315424919128418,3.5940768718719482,3.9763107299804688,10.781170845031738,0,0,0,0,0,0.9999951720237732,0.08007518947124481,-0.31824320554733276,0.07901377975940704,-0.31728655099868774,0.2627356946468353,0.04891856014728546,0.26359930634498596,0.04917927831411362,-0.30227285623550415,0.049366988241672516,-0.3038586974143982,0.04923325404524803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.15,0,0.007586231455206871,-0.02329469658434391,0.00330445752479136,0.28226926922798157,0.0,0.0,0.008592241443693638,0.0038332513067871332,1,1,1,1,10.880168914794922,3.0417556762695312,3.767693281173706,11.048974990844727,10.880168914794922,3.0417556762695312,3.767693281173706,11.048974990844727,0,0,0,0,0,0.999997615814209,0.08006898313760757,-0.31824901700019836,0.0790088102221489,-0.3172919750213623,0.26297199726104736,0.04896453022956848,0.2637179493904114,0.04926673322916031,-0.3015952706336975,0.04925812780857086,-0.30325937271118164,0.049342080950737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.2,0,0.007749704644083977,-0.023296108469367027,-0.0049918340519070625,0.28228917717933655,0.0,0.0,0.015970587730407715,0.0038915621116757393,1,1,1,1,10.488327026367188,3.511443853378296,3.7310526371002197,10.941789627075195,10.488327026367188,3.511443853378296,3.7310526371002197,10.941789627075195,0,0,0,0,0,0.9999986886978149,0.08006466180086136,-0.3182530999183655,0.07899930328130722,-0.31730198860168457,0.2633020877838135,0.04902636259794235,0.2639898955821991,0.049357056617736816,-0.3008423447608948,0.04913018271327019,-0.3025871813297272,0.04945458099246025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.25,0,0.008153220638632774,-0.023342818021774292,-0.008489875122904778,0.2822605073451996,0.0,0.0,0.016700733453035355,0.003948417957872152,1,1,1,1,11.229987144470215,2.7288665771484375,2.995919704437256,11.558670043945312,11.229987144470215,2.7288665771484375,2.995919704437256,11.558670043945312,0,0,0,0,0,0.9999991655349731,0.08005675673484802,-0.3182612955570221,0.078992560505867,-0.31730952858924866,0.26370564103126526,0.04910100996494293,0.2644074261188507,0.04945094510912895,-0.3000538647174835,0.048986442387104034,-0.30185481905937195,0.04956517741084099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.3,0,0.00862741470336914,-0.02343476377427578,0.00394862238317728,0.28218308091163635,0.0,0.0,0.012108678929507732,0.003912930376827717,1,1,1,1,10.895251274108887,3.005551338195801,4.25527811050415,11.167977333068848,10.895251274108887,3.005551338195801,4.25527811050415,11.167977333068848,0,0,0,0,0,0.9999993443489075,0.08005696535110474,-0.318261057138443,0.07899715006351471,-0.31730547547340393,0.26413533091545105,0.04918048903346062,0.2648264169692993,0.04954138770699501,-0.29927849769592285,0.048865243792533875,-0.3011172413825989,0.049668047577142715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.35,0,0.00921119935810566,-0.02326689288020134,0.006921209394931793,0.28215017914772034,0.0,0.0,0.009740004315972328,0.004115881398320198,1,1,1,1,10.302589416503906,3.593599796295166,3.9226436614990234,10.762846946716309,10.302589416503906,3.593599796295166,3.9226436614990234,10.762846946716309,0,0,0,0,0,0.9999994039535522,0.08004577457904816,-0.31827330589294434,0.07898222655057907,-0.31732097268104553,0.2646142840385437,0.04925744608044624,0.2654038667678833,0.04962732642889023,-0.298545777797699,0.04900256544351578,-0.30033549666404724,0.04976719245314598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.4,0,0.009837565943598747,-0.023146240040659904,0.0040873317047953606,0.2820718288421631,0.0,0.0,0.006421557627618313,0.004249744117259979,1,1,1,1,10.33559513092041,3.6251206398010254,3.8022937774658203,10.817743301391602,10.33559513092041,3.6251206398010254,3.8022937774658203,10.817743301391602,0,0,0,0,0,0.999999463558197,0.08003439009189606,-0.31828543543815613,0.07897274196147919,-0.31733107566833496,0.26511257886886597,0.049336764961481094,0.265964537858963,0.049708958715200424,-0.29781097173690796,0.04913730174303055,-0.29953956604003906,0.04985213279724121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.45,0,0.010505779646337032,-0.023065553978085518,0.004117971286177635,0.28200969099998474,0.0,0.0,0.007564065046608448,0.004398073069751263,1,1,1,1,10.536296844482422,3.5565085411071777,3.8859291076660156,10.830910682678223,10.536296844482422,3.5565085411071777,3.8859291076660156,10.830910682678223,0,0,0,0,0,0.9999994039535522,0.08002452552318573,-0.3182962238788605,0.07896442711353302,-0.3173399269580841,0.26563510298728943,0.04941295459866524,0.2665763795375824,0.049784619361162186,-0.2970634996891022,0.04926285892724991,-0.29872992634773254,0.04992537200450897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.5,0,0.011183577589690685,-0.022993510589003563,0.0016185382846742868,0.2819453179836273,0.0,0.0,0.008204220794141293,0.004527281038463116,1,1,1,1,10.467680931091309,3.65750789642334,3.8663406372070312,10.757883071899414,10.467680931091309,3.65750789642334,3.8663406372070312,10.757883071899414,0,0,0,0,0,0.9999994039535522,0.08001379668712616,-0.3183077275753021,0.07895813882350922,-0.3173466920852661,0.2661697566509247,0.049486104398965836,0.267193466424942,0.04985205829143524,-0.2963155508041382,0.04937807470560074,-0.29791682958602905,0.04998410865664482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.55,0,0.011881688609719276,-0.022970419377088547,-0.0010724917519837618,0.2818836569786072,0.0,0.0,0.0086197005584836,0.004646107088774443,1,1,1,1,10.635310173034668,3.517627239227295,3.695323944091797,10.870076179504395,10.635310173034668,3.517627239227295,3.695323944091797,10.870076179504395,0,0,0,0,0,0.9999994039535522,0.08000579476356506,-0.3183165490627289,0.07894843071699142,-0.3173568844795227,0.26672104001045227,0.04955573379993439,0.26782846450805664,0.04991231486201286,-0.29556992650032043,0.049481265246868134,-0.297097772359848,0.05002990737557411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.6,0,0.01258554682135582,-0.022934354841709137,-0.000506244192365557,0.2818184792995453,0.0,0.0,0.008451861329376698,0.004754927475005388,1,1,1,1,10.588913917541504,3.616644859313965,3.79822039604187,10.739765167236328,10.588913917541504,3.616644859313965,3.79822039604187,10.739765167236328,0,0,0,0,0,0.9999993443489075,0.07999694347381592,-0.3183261752128601,0.07894186675548553,-0.317363977432251,0.26728561520576477,0.0496201291680336,0.2684662342071533,0.04996491223573685,-0.29481974244117737,0.049574315547943115,-0.29627227783203125,0.05006176233291626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
