time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_contact_upward_force_n,fr_contact_upward_force_n,rl_contact_upward_force_n,rr_contact_upward_force_n,fl_full_wheel_on_top,fr_full_wheel_on_top,rl_full_wheel_on_top,rr_full_wheel_on_top,all_wheels_on_top,support_score,fl_wheel_y_m,fr_wheel_y_m,rl_wheel_y_m,rr_wheel_y_m,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,fl_load_trim_z_m,fr_load_trim_z_m,fl_unload_trim_m,fr_unload_trim_m,rl_unload_trim_m,rr_unload_trim_m,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
0.0,0,0.023341462016105652,-0.013022538274526596,0.11482547223567963,0.2811872363090515,0.0,0.6115152835845947,-1.7035406827926636,0.0011024805717170238,1,1,1,1,12.714151382446289,3.8829269409179688,7.918721675872803,0.0,12.714151382446289,3.8829269409179688,7.918721675872803,0.0,0,0,0,0,0,0.9998812675476074,0.08114944398403168,-0.3171718716621399,0.07888796180486679,-0.31741735339164734,0.2740977704524994,0.03834109753370285,0.2775287330150604,0.03980577737092972,-0.2972661554813385,0.048968832939863205,-0.29712435603141785,0.0495038703083992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.05,0,0.01539851538836956,-0.025462055578827858,0.11553030461072922,0.2831089198589325,0.0,0.35966116189956665,-0.21055251359939575,0.00842971634119749,1,1,1,1,0.0,14.470070838928223,17.350555419921875,0.5359614491462708,0.0,14.470070838928223,17.350555419921875,0.5359614491462708,0,0,0,0,0,0.9999774694442749,0.08045728504657745,-0.31788158416748047,0.07873021811246872,-0.31759217381477356,0.26761409640312195,0.049499914050102234,0.2716085612773895,0.04914311319589615,-0.2986336052417755,0.049113769084215164,-0.2986569106578827,0.049434710294008255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.1,0,0.013719988986849785,-0.021792633458971977,0.06414193660020828,0.2840037941932678,0.0,0.8241164684295654,-0.02569754421710968,0.012607072480022907,1,1,1,1,0.0,14.153322219848633,14.439704895019531,0.0,0.0,14.153322219848633,14.439704895019531,0.0,0,0,0,0,0,0.9999892711639404,0.0802849531173706,-0.318073570728302,0.07851333171129227,-0.3178444802761078,0.26626265048980713,0.04980502277612686,0.2715737521648407,0.04922419413924217,-0.2982634902000427,0.0489698126912117,-0.29683172702789307,0.050019361078739166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.15,0,0.01366893108934164,-0.021107900887727737,0.013104408979415894,0.28410300612449646,0.0,0.739499568939209,-0.007207607384771109,0.017281679436564445,1,1,1,1,0.0,14.409021377563477,15.677532196044922,0.0,0.0,14.409021377563477,15.677532196044922,0.0,0,0,0,0,0,0.9999923706054688,0.0800519734621048,-0.3183102607727051,0.0782855823636055,-0.3181191384792328,0.26658114790916443,0.051223739981651306,0.27198004722595215,0.04939085245132446,-0.2974884510040283,0.048776037991046906,-0.29379400610923767,0.04996104538440704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.2,0,0.013689455576241016,-0.02010643295943737,0.033549461513757706,0.284218966960907,0.0,0.8280742168426514,0.013257118873298168,0.021265508607029915,1,1,1,1,0.0,13.902658462524414,14.721237182617188,0.0,0.0,13.902658462524414,14.721237182617188,0.0,0,0,0,0,0,0.9999912977218628,0.07985404878854752,-0.3185057044029236,0.07808558642864227,-0.3183709979057312,0.2668754458427429,0.05259646102786064,0.2724084258079529,0.04954594373703003,-0.29682689905166626,0.04882918670773506,-0.2917743921279907,0.05048397183418274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.25,0,0.014055340550839901,-0.019760599359869957,0.01834084466099739,0.2842131555080414,0.0,0.8270314931869507,0.011403820477426052,0.023847613483667374,1,1,1,1,0.0,13.985916137695312,14.680642127990723,0.0,0.0,13.985916137695312,14.680642127990723,0.0,0,0,0,0,0,0.99998939037323,0.07972203195095062,-0.3186332583427429,0.0779576525092125,-0.31853508949279785,0.2674083411693573,0.05355039983987808,0.272922545671463,0.04968658834695816,-0.2960737943649292,0.04888134449720383,-0.2901753783226013,0.05073307082056999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.3,0,0.014619125053286552,-0.019055450335144997,0.02786816842854023,0.28410786390304565,0.0,0.8807934522628784,0.0022075632587075233,0.02569405362010002,1,1,1,1,0.0,13.9804105758667,14.634926795959473,0.0,0.0,13.9804105758667,14.634926795959473,0.0,0,0,0,0,0,0.9999876022338867,0.07962427288293839,-0.31872716546058655,0.07785950601100922,-0.31867098808288574,0.26809439063072205,0.054233305156230927,0.27351438999176025,0.04982098564505577,-0.2952660620212555,0.048924755305051804,-0.28878673911094666,0.051303889602422714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.35,0,0.015333202667534351,-0.01815005950629711,0.03562527894973755,0.2839330732822418,0.0,0.8872206211090088,-0.0031943374779075384,0.026319554075598717,1,1,1,1,0.0,14.028193473815918,14.645026206970215,0.0,0.0,14.028193473815918,14.645026206970215,0.0,0,0,0,0,0,0.9999868869781494,0.07960126549005508,-0.3187491297721863,0.07782634347677231,-0.3187311291694641,0.26887035369873047,0.05449771136045456,0.27416467666625977,0.0499362014234066,-0.2944076955318451,0.04895804077386856,-0.28754711151123047,0.05199727416038513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.4,0,0.016189251095056534,-0.016649436205625534,0.05247051268815994,0.2836756408214569,0.0,0.9191708564758301,-0.010689069516956806,0.025727493688464165,1,1,1,1,0.0,14.14208698272705,14.799715995788574,0.0,0.0,14.14208698272705,14.799715995788574,0.0,0,0,0,0,0,0.9999876022338867,0.07962504029273987,-0.31872838735580444,0.07784769684076309,-0.3187295198440552,0.26974189281463623,0.05431071296334267,0.2748870551586151,0.05002965033054352,-0.29348915815353394,0.048980943858623505,-0.2863590121269226,0.05303877964615822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.45,0,0.017019957304000854,-0.015443778596818447,0.020815052092075348,0.2834683954715729,0.0,0.9210830330848694,0.0013808868825435638,0.025492435321211815,1,1,1,1,0.0,14.309423446655273,14.37969970703125,0.0,0.0,14.309423446655273,14.37969970703125,0.0,0,0,0,0,0,0.9999878406524658,0.07963539659976959,-0.31871870160102844,0.07785332202911377,-0.3187412917613983,0.2705785930156708,0.05429853871464729,0.27560660243034363,0.05011999234557152,-0.29263246059417725,0.049099765717983246,-0.285295695066452,0.05393005907535553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
