time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
0.0,0,0.014283798635005951,-0.012849605642259121,0.39585375785827637,0.2817249596118927,0.0,0.0,-3.46147084236145,-0.00046168966218829155,1,1,1,1,17.179122924804688,5.281231880187988,23.52887535095215,7.64386510848999,0.26633450388908386,0.03828505799174309,0.2696703374385834,0.03989265859127045,-0.30183377861976624,0.04681688919663429,-0.30302664637565613,0.047560371458530426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.05,0,0.009352583438158035,-0.02500363253057003,0.03855462744832039,0.28121218085289,0.0,0.0,-0.21205849945545197,0.0024557688739150763,1,1,1,1,15.777835845947266,5.148324012756348,4.752487659454346,30.00008773803711,0.26289045810699463,0.048983655869960785,0.2637189030647278,0.04911275580525398,-0.3013942539691925,0.04945961385965347,-0.3049965798854828,0.04919809475541115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.1,0,0.008817235007882118,-0.02464362606406212,0.0015033888630568981,0.2814275622367859,0.0,0.0,0.03361532837152481,0.0022358507849276066,1,1,1,1,8.996272087097168,4.98013973236084,5.259177207946777,9.336526870727539,0.26305657625198364,0.049015339463949203,0.26364126801490784,0.049163758754730225,-0.30086952447891235,0.049396004527807236,-0.3044857978820801,0.049290597438812256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.15,0,0.00905710831284523,-0.024784991517663002,-0.004575409460812807,0.2814860939979553,0.0,0.0,0.04137405380606651,0.0021233069710433483,1,1,1,1,9.894365310668945,4.138307094573975,4.413257598876953,10.12793254852295,0.26348063349723816,0.04909983277320862,0.2640112638473511,0.04922999069094658,-0.3001142144203186,0.04927806183695793,-0.3037884831428528,0.049404967576265335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.2,0,0.009470401331782341,-0.024949846789240837,-0.007383113261312246,0.2814498543739319,0.0,0.0,0.042342957109212875,0.0019882130436599255,1,1,1,1,10.461773872375488,3.697927951812744,4.0038676261901855,10.520925521850586,0.26395663619041443,0.04919013753533363,0.2644248604774475,0.049305085092782974,-0.29930415749549866,0.049142416566610336,-0.3030565083026886,0.0495150126516819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.25,0,0.009939925745129585,-0.025112232193350792,-0.014536234550178051,0.28134357929229736,0.0,0.0,0.041878245770931244,0.0017946187872439623,1,1,1,1,10.220974922180176,4.034751892089844,4.152378559112549,10.566306114196777,0.2644513249397278,0.04928125441074371,0.26481059193611145,0.04937861114740372,-0.2985069751739502,0.04898823797702789,-0.3023180663585663,0.049613840878009796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.3,0,0.01047145389020443,-0.025151992216706276,0.007784008979797363,0.2812032401561737,0.0,0.0,0.035263895988464355,0.0016664067516103387,1,1,1,1,9.131330490112305,4.848515510559082,5.164822101593018,9.545769691467285,0.264972060918808,0.04936804994940758,0.26521986722946167,0.0494597852230072,-0.29773324728012085,0.04893754795193672,-0.3015604317188263,0.04970739036798477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.35,0,0.011096896603703499,-0.025028211995959282,0.006397146265953779,0.2810607850551605,0.0,0.0,0.03489524498581886,0.0017366154352203012,1,1,1,1,9.102550506591797,4.997063159942627,5.280398368835449,9.378079414367676,0.26553186774253845,0.04945286735892296,0.26571619510650635,0.04954105243086815,-0.2969949543476105,0.04908376187086105,-0.3007674515247345,0.04979478195309639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.4,0,0.011756883934140205,-0.024935293942689896,0.004605969879776239,0.28092581033706665,0.0,0.0,0.03479059413075447,0.0017914018826559186,1,1,1,1,8.923834800720215,5.196474552154541,5.431495666503906,9.189210891723633,0.26610907912254333,0.04953315854072571,0.2662486433982849,0.04961853101849556,-0.2962528169155121,0.04921899735927582,-0.29995688796043396,0.04986906051635742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.45,0,0.012426325120031834,-0.0248416680842638,0.005154600832611322,0.2807967960834503,0.0,0.0,0.03397376090288162,0.0018540374003350735,1,1,1,1,8.804561614990234,5.325757026672363,5.560476779937744,8.931840896606445,0.26669594645500183,0.049608584493398666,0.2667960226535797,0.04969015717506409,-0.2955113649368286,0.04934331774711609,-0.2991349399089813,0.049927935004234314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
