run,event_file,tag,points,first,last,minimum,maximum,tail_mean
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Loss / Policy loss,1200,-0.02825005352497101,-0.017594490200281143,-0.2505500316619873,0.21643398702144623,-0.0009719315870038751
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Loss / Value loss,1200,0.000311535521177575,0.00000211512247005885,2.9816413871230907e-7,0.07253904640674591,0.00011700014270582907
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Policy / Standard deviation,1200,0.017978675663471222,0.017350656911730766,0.017350656911730766,0.017978698015213013,0.017393159416193762
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Learning / Learning rate,1200,0.00003950617247028276,0.000059259258705424145,0.0000034683059766393853,0.00019999999494757503,0.00007461819823220139
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Stats / Algorithm update time (ms),1200,81.73274993896484,21.910429000854492,15.996694564819336,246.9656524658203,49.04026975631714
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Reward / Total reward (max),8,25.93148422241211,36.52842330932617,25.93148422241211,36.52842330932617,36.52842330932617
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Reward / Total reward (min),8,17.578737258911133,30.237295150756836,17.578737258911133,30.237295150756836,30.237295150756836
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Reward / Total reward (mean),8,22.360828399658203,33.69850540161133,22.360828399658203,33.69850540161133,33.69850540161133
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Episode / Total timesteps (max),8,8991,8999,8991,8999,8999
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Episode / Total timesteps (min),8,8991,8999,8991,8999,8999
s11-75mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\events.out.tfevents.1785436010.Allenzjx.106896.0,Episode / Total timesteps (mean),8,8991,8999,8991,8999,8999
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Stats / Inference time (ms),1200,1.5060566663742065,1.407820701599121,1.254845380783081,2.204000949859619,1.4484584430853527
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Stats / Env stepping time (ms),1200,115.63143157958984,111.6792221069336,103.79093933105469,140.4842987060547,116.71546618143718
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Reward / Instantaneous reward (max),1200,0.021627292037010193,0.04533761367201805,-0.004035838879644871,200.04818725585938,40.038370436779225
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Reward / Instantaneous reward (min),1200,0.009902998805046082,-199.9947509765625,-200.01161193847656,0.009902998805046082,-40.06060440096383
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Reward / Instantaneous reward (mean),1200,0.018624544143676758,-0.04730755835771561,-0.43260425329208374,0.5076497197151184,-0.0005342554445784723
