time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward
0.0,0,0.005405638366937637,0.004792955704033375,0.5159829258918762,nan,0.0,0.0,-4.01842737197876
0.05,0,-0.0038424301892518997,-0.01640562154352665,-0.7394526600837708,nan,0.0,0.0,-1.8285236358642578
0.1,0,-0.0035982877016067505,-0.036141131073236465,-0.15089088678359985,nan,0.0,0.0,-0.010430511087179184
0.15,0,0.00028975680470466614,-0.01972331292927265,-0.09726476669311523,0.27936336398124695,0.0,0.0,-0.14403614401817322
0.2,0,0.002217493951320648,-0.021966174244880676,-0.040929026901721954,0.2796601355075836,0.0,0.0,-0.016496187075972557
0.25,0,0.0036097317934036255,-0.023402130231261253,-0.03224525973200798,0.2793494760990143,0.0,0.0,-0.004375868011265993
0.3,0,0.004650769755244255,-0.024181965738534927,-0.02156992442905903,0.279208779335022,0.0,0.0,0.002621116116642952
0.35,0,0.0055260322988033295,-0.02466922625899315,-0.018928639590740204,0.2791508138179779,0.0,0.0,0.006286989897489548
0.4,0,0.006302086636424065,-0.024813737720251083,-0.004252498969435692,0.2791329622268677,0.0,0.0,0.0039942627772688866
0.45,0,0.007065754383802414,-0.024829134345054626,-0.002356212120503187,0.279119610786438,0.0,0.0,0.005699900910258293
0.5,0,0.007802722975611687,-0.024801908060908318,-0.0019469126127660275,0.27912062406539917,0.0,0.0,0.0065419916063547134
0.55,0,0.008522970601916313,-0.024742165580391884,-0.001318446360528469,0.2791264057159424,0.0,0.0,0.008072428405284882
0.6,0,0.009243667125701904,-0.0246819369494915,-0.000903685053344816,0.27913522720336914,0.0,0.0,0.0076395198702812195
0.65,0,0.00995977595448494,-0.024592764675617218,-0.0007273415103554726,0.2791454792022705,0.0,0.0,0.00785013847053051
0.7,0,0.010674385353922844,-0.02448895387351513,-0.0018238249467685819,0.2791573703289032,0.0,0.0,0.007771757431328297
0.75,0,0.011413371190428734,-0.02440030314028263,-0.0025740698911249638,0.2791563868522644,0.0,0.0,0.006584116257727146
0.8,0,0.012165897525846958,-0.02431189827620983,-0.005195370875298977,0.2791231870651245,0.0,0.0,0.007088836282491684
